City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,Talcahuano,-36.7167,-73.1167,50.02,91,100,6.85,CL,2022-07-13 01:02:29
89,Qaanaaq,77.484,-69.3632,40.98,76,99,3.96,GL,2022-07-13 01:04:22
90,Guerrero Negro,27.9769,-114.0611,68.54,76,48,14.5,MX,2022-07-13 01:04:22
91,Valleyview,55.0667,-117.2859,59.38,92,100,10.65,CA,2022-07-13 01:01:46
92,Iqaluit,63.7506,-68.5145,50.7,87,100,8.23,CA,2022-07-13 01:04:23
93,Monte Carmelo,-18.7247,-47.4986,62.82,45,92,2.35,BR,2022-07-13 01:01:47
94,Armidale,-30.5167,151.65,41.85,77,87,11.61,AU,2022-07-13 01:04:23
95,Pochutla,15.7432,-96.4661,82.22,89,100,0.51,MX,2022-07-13 01:04:24
96,Lieksa,63.3167,30.0167,61.97,94,16,5.08,FI,2022-07-13 01:04:24
97,Honningsvag,70.9821,25.9704,65.95,63,20,9.22,NO,2022-07-13 01:03:12
98,Burnie,-41.0667,145.9167,51.94,59,7,2.55,AU,2022-07-13 01:04:25
99,Lompoc,34.6391,-120.4579,82.02,76,6,8.99,US,2022-07-13 01:01:26
100,Albany,42.6001,-73.9662,75.88,74,2,6.98,US,2022-07-13 01:01:34
101,Geraldton,-28.7667,114.6,55.81,76,98,8.05,AU,2022-07-13 01:04:25
102,Abilene,32.4487,-99.7331,100.62,18,40,12.66,US,2022-07-13 01:03:56
103,Cacu,-18.5567,-51.1308,75.61,41,100,3.83,BR,2022-07-13 01:04:26
104,Esperance,-33.8667,121.9,54.66,55,0,11.18,AU,2022-07-13 01:03:08
105,Quatre Cocos,-20.2078,57.7625,69.1,66,79,13.91,MU,2022-07-13 01:04:26
106,Walvis Bay,-22.9575,14.5053,54.09,77,0,8.86,NA,2022-07-13 01:04:27
107,Kodiak,57.79,-152.4072,54.91,88,100,8.05,US,2022-07-13 01:04:27
108,Cape Town,-33.9258,18.4232,55.38,91,20,8.05,ZA,2022-07-13 01:00:04
109,Bambous Virieux,-20.3428,57.7575,69.22,66,81,13.2,MU,2022-07-13 01:01:47
110,Mahebourg,-20.4081,57.7,69.26,66,76,13.11,MU,2022-07-13 01:01:28
111,Tiksi,71.6872,128.8694,36.28,94,100,7.78,RU,2022-07-13 01:04:28
112,Vetluzhskiy,58.3902,45.4654,65.5,93,99,4.21,RU,2022-07-13 01:04:29
113,Trairi,-3.2778,-39.2689,77.59,85,11,8.57,BR,2022-07-13 01:02:10
114,Yumen,40.2833,97.2,78.69,17,6,9.82,CN,2022-07-13 01:04:29
115,Saint-Philippe,-21.3585,55.7679,67.59,66,79,11.16,RE,2022-07-13 01:04:29
116,Saint Anthony,45.0205,-93.218,82.04,71,100,19.57,US,2022-07-13 01:00:11
117,Merced,37.1666,-120.7516,98.94,18,0,14.65,US,2022-07-13 01:00:11
118,Gbongan,7.4667,4.35,70.32,99,78,2.93,NG,2022-07-13 01:04:30
119,Cidreira,-30.1811,-50.2056,52.61,70,85,7.94,BR,2022-07-13 01:04:30
120,Porto Novo,6.4965,2.6036,75.29,84,94,7.18,BJ,2022-07-13 01:04:31
121,Coari,-4.085,-63.1414,74.89,88,59,1.43,BR,2022-07-13 01:04:31
122,Cherskiy,68.75,161.3,61.2,57,27,14.09,RU,2022-07-13 01:04:31
123,Nan,18.8333,100.6667,74.53,96,84,0.07,TH,2022-07-13 01:04:32
124,East London,-33.0153,27.9116,57.56,55,0,6.2,ZA,2022-07-13 01:04:32
125,Tautira,-17.7333,-149.15,76.28,79,50,12.33,PF,2022-07-13 01:01:16
126,Harper,4.375,-7.7169,75.7,82,100,9.75,LR,2022-07-13 01:04:33
127,Ishikawa,26.4233,127.8214,92.14,71,0,8.05,JP,2022-07-13 01:04:33
128,Komsomolskiy,40.4272,71.7189,68.72,60,100,23.02,UZ,2022-07-13 01:04:33
129,Port Elizabeth,-33.918,25.5701,55.35,57,0,8.57,ZA,2022-07-13 01:04:34
130,Vardo,70.3705,31.1107,53.58,87,100,5.75,NO,2022-07-13 01:04:34
131,Anjozorobe,-18.4,47.8667,52.93,89,100,7.65,MG,2022-07-13 01:04:34
132,Airai,-8.9266,125.4092,62.83,62,100,3.76,TL,2022-07-13 01:05:35
133,San Patricio,28.017,-97.5169,91.54,59,5,13.31,US,2022-07-13 01:05:35
134,San Quintin,30.4833,-115.95,68.2,73,65,13.8,MX,2022-07-13 01:05:35
135,Rapid Valley,44.0625,-103.1463,87.76,33,0,13.0,US,2022-07-13 01:05:36
136,Salalah,17.0151,54.0924,77.09,94,100,6.91,OM,2022-07-13 01:05:36
137,Shar,49.5886,81.0453,66.69,54,0,19.44,KZ,2022-07-13 01:05:37
138,Feicheng,35.2606,117.9675,83.55,72,63,7.96,CN,2022-07-13 01:05:12
139,Sisimiut,66.9395,-53.6735,42.66,93,99,3.71,GL,2022-07-13 01:05:37
140,Raga,8.4596,25.678,68.74,98,100,2.73,SS,2022-07-13 01:05:37
141,Waterford,42.7023,-83.4027,76.08,70,19,8.14,US,2022-07-13 01:01:34
142,Burns Lake,54.2331,-125.7533,62.51,38,93,10.11,CA,2022-07-13 01:05:38
143,Linjiang,41.8069,126.9078,76.39,73,100,1.48,CN,2022-07-13 01:05:38
144,Kaeo,-35.1,173.7833,65.32,86,100,12.86,NZ,2022-07-13 01:05:39
145,Rocha,-34.4833,-54.3333,38.28,88,0,4.18,UY,2022-07-13 01:01:26
146,Asyut,27.181,31.1837,80.74,47,2,17.74,EG,2022-07-13 01:05:39
147,Bahraich,27.5833,81.6,89.89,54,13,11.07,IN,2022-07-13 01:05:39
148,Garmsar,35.2182,52.3409,82.04,20,0,5.1,IR,2022-07-13 01:05:40
149,Khatanga,71.9667,102.5,38.75,84,100,11.07,RU,2022-07-13 01:05:40
150,Bichena,10.45,38.2,52.38,91,96,4.0,ET,2022-07-13 01:05:40
151,San Alberto,7.7611,-73.3922,76.64,86,37,6.17,CO,2022-07-13 01:05:41
152,Nemuro,43.3236,145.575,62.64,95,100,5.88,JP,2022-07-13 01:05:41
153,Mar Del Plata,-38.0023,-57.5575,46.09,69,10,14.0,AR,2022-07-13 01:05:03
154,Kahului,20.8947,-156.47,82.98,92,42,8.99,US,2022-07-13 01:03:30
155,Sao Filipe,14.8961,-24.4956,74.95,82,38,7.27,CV,2022-07-13 01:05:42
156,Havelock,34.8791,-76.9013,82.94,91,90,5.99,US,2022-07-13 01:05:42
157,Sioux Lookout,50.1001,-91.917,62.73,69,54,5.68,CA,2022-07-13 01:05:43
158,Carnarvon,-24.8667,113.6333,68.7,65,6,8.75,AU,2022-07-13 01:05:43
159,Le Passage,44.2014,0.6028,69.76,72,0,2.3,FR,2022-07-13 01:05:43
160,Nyrob,60.733,56.7202,65.16,90,15,2.37,RU,2022-07-13 01:05:44
161,Kanigoro,-8.13,112.219,78.13,80,7,3.96,ID,2022-07-13 01:05:44
162,Hermanus,-34.4187,19.2345,45.81,81,1,10.0,ZA,2022-07-13 01:05:44
163,Iaciara,-14.0958,-46.6317,67.48,40,15,3.02,BR,2022-07-13 01:05:45
164,Kutum,14.2,24.6667,75.65,63,70,10.38,SD,2022-07-13 01:05:45
165,Thompson,55.7435,-97.8558,77.16,26,14,2.04,CA,2022-07-13 01:05:45
166,New Norfolk,-42.7826,147.0587,47.91,84,20,2.82,AU,2022-07-13 01:05:46
167,Lavrentiya,65.5833,-171.0,53.1,72,100,7.45,RU,2022-07-13 01:05:46
168,Manitouwadge,49.1215,-85.8403,57.54,65,100,3.69,CA,2022-07-13 01:05:46
169,Klaksvik,62.2266,-6.589,50.92,93,100,24.63,FO,2022-07-13 01:05:47
170,Ouadda,8.0777,22.4007,67.86,98,100,1.34,CF,2022-07-13 01:05:47
171,Bullhead City,35.1478,-114.5683,116.02,10,0,14.97,US,2022-07-13 01:02:20
172,Smithers,54.7804,-127.1743,60.89,48,100,7.25,CA,2022-07-13 01:01:40
173,Buribay,51.9617,58.1592,64.78,93,100,8.97,RU,2022-07-13 01:05:48
174,Victoria,22.2855,114.1577,89.96,75,80,8.01,HK,2022-07-13 01:01:16
175,Tezu,27.9167,96.1667,82.49,85,100,1.05,IN,2022-07-13 01:05:48
176,Cayenne,4.9333,-52.3333,83.08,1,75,2.3,GF,2022-07-13 01:01:01
177,Oulu,65.0124,25.4682,66.31,88,75,2.3,FI,2022-07-13 01:05:49
178,Timra,62.487,17.3257,59.68,82,100,4.61,SE,2022-07-13 01:06:49
179,Praia Da Vitoria,38.7333,-27.0667,73.76,83,97,9.98,PT,2022-07-13 01:06:50
180,Asfi,32.2994,-9.2372,70.09,85,12,5.44,MA,2022-07-13 01:06:50
181,Nelson Bay,-32.7167,152.15,59.0,70,97,10.0,AU,2022-07-13 01:03:51
182,Korla,41.7597,86.1469,76.93,24,8,10.71,CN,2022-07-13 01:06:50
