City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Carnarvon,AU,-24.8667,113.6333,67.15,79,23,11.54,few clouds
203,Aguimes,ES,27.9054,-15.4461,75.67,65,40,34.52,scattered clouds
204,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,71,47,5.91,scattered clouds
205,Ust-Tsilma,RU,65.441,52.1498,68.32,55,60,4.43,broken clouds
206,Mabaruma,GY,8.2,-59.7833,83.28,81,33,5.12,scattered clouds
207,Nemuro,JP,43.3236,145.575,62.62,100,100,11.05,overcast clouds
208,San Quintin,MX,30.4833,-115.95,74.46,67,17,8.68,few clouds
209,Batemans Bay,AU,-35.7167,150.1833,52.11,65,51,7.87,broken clouds
210,Tenango,MX,18.65,-98.1833,82.44,37,100,3.67,overcast clouds
211,Porto Velho,BR,-8.7619,-63.9039,95.05,41,40,10.36,scattered clouds
212,Sept-Iles,CA,50.2001,-66.3821,68.05,67,59,5.99,broken clouds
213,Caravelas,BR,-17.7125,-39.2481,78.21,63,6,7.72,clear sky
214,Valdivia,CL,-39.8142,-73.2459,50.09,92,100,8.57,overcast clouds
215,Guerrero Negro,MX,27.9769,-114.0611,77.9,51,3,9.04,clear sky
216,Eyl,SO,7.9803,49.8164,78.17,73,51,32.53,broken clouds
217,Harper,LR,4.375,-7.7169,76.37,77,100,11.07,overcast clouds
218,Tasiilaq,GL,65.6145,-37.6368,50.16,78,88,6.06,overcast clouds
219,Ouahigouya,BF,13.5828,-2.4216,85.84,49,68,5.12,broken clouds
220,Prince Rupert,CA,54.3161,-130.3201,55.49,88,40,3.44,scattered clouds
221,Minggang,CN,32.4586,114.0486,79.18,69,25,0.69,scattered clouds
222,Balkanabat,TM,39.5108,54.3671,98.69,12,0,6.31,clear sky
223,Luganville,VU,-15.5333,167.1667,77.4,87,75,14.18,broken clouds
224,Usinsk,RU,65.9939,57.5281,63.27,90,99,1.23,overcast clouds
225,Chowchilla,US,37.123,-120.2602,108.01,17,0,10.36,clear sky
226,Beringovskiy,RU,63.05,179.3167,51.71,66,60,32.1,broken clouds
227,Manokwari,ID,-0.8667,134.0833,74.66,89,100,1.43,overcast clouds
228,Sao Miguel,BR,-5.4667,-35.3667,79.57,78,72,18.97,broken clouds
229,Vostok,RU,46.4856,135.8833,55.27,93,88,2.3,overcast clouds
230,Kodiak,US,57.79,-152.4072,60.31,63,75,4.61,broken clouds
231,Seydi,TM,39.4816,62.9137,95.31,11,0,12.3,clear sky
232,Quelimane,MZ,-17.8786,36.8883,64.85,95,41,4.7,light rain
233,Provideniya,RU,64.3833,-173.3,51.15,95,100,6.33,overcast clouds
234,Lebu,CL,-37.6167,-73.65,51.31,84,98,12.88,overcast clouds
235,Suez,EG,29.9737,32.5263,82.29,41,0,13.18,clear sky
236,Palazzolo Acreide,IT,37.0623,14.9035,79.92,33,0,1.52,clear sky
237,Salalah,OM,17.0151,54.0924,78.89,89,100,4.61,overcast clouds
238,Treinta Y Tres,UY,-33.2333,-54.3833,52.61,58,0,13.18,clear sky
239,Pevek,RU,69.7008,170.3133,31.03,94,100,35.19,light snow
240,Dunedin,NZ,-45.8742,170.5036,52.39,71,93,10.6,overcast clouds
241,Aranjuez,ES,40.0311,-3.6025,103.53,10,0,15.73,clear sky
242,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.7,79,81,21.07,broken clouds
243,Mana,GF,5.6592,-53.7767,82.62,73,70,7.63,broken clouds
244,Corinto,GR,37.9407,22.9573,85.89,42,0,4.03,clear sky
245,Sorland,NO,67.667,12.6934,51.66,77,80,14.47,broken clouds
246,Solnechnyy,RU,50.7214,136.6319,60.12,78,91,3.29,overcast clouds
247,Lakhtar,IN,22.85,71.7833,83.37,77,97,13.76,light rain
248,Ribeira Grande,PT,38.5167,-28.7,77.4,73,20,18.41,few clouds
249,Kavieng,PG,-2.5744,150.7967,81.86,80,71,14.7,light rain
250,Kirakira,SB,-10.4544,161.9205,79.54,83,27,10.51,scattered clouds
251,Buta,CD,2.7858,24.73,75.0,72,21,0.81,light rain
252,Kavaratti,IN,10.5669,72.642,82.36,76,100,17.85,overcast clouds
253,Talas,TR,38.6908,35.5538,72.27,53,40,17.27,scattered clouds
254,Polahongon,PH,10.5288,124.9694,75.0,97,100,1.77,moderate rain
255,Thiruvananthapuram,IN,8.4833,76.9167,80.58,83,40,6.91,mist
256,Okhotsk,RU,59.3833,143.3,52.95,97,19,1.25,few clouds
257,Hualmay,PE,-11.0964,-77.6139,65.82,71,29,9.6,scattered clouds
258,Srednekolymsk,RU,67.45,153.6833,45.46,49,1,4.25,clear sky
259,Uray,RU,60.1247,64.7758,61.83,57,89,1.07,overcast clouds
260,Buala,SB,-8.145,159.5921,79.0,82,68,8.12,broken clouds
261,Nanortalik,GL,60.1432,-45.2371,43.68,82,51,12.3,broken clouds
262,Bambous Virieux,MU,-20.3428,57.7575,70.21,65,50,22.77,scattered clouds
263,Hamilton,US,39.1834,-84.5333,75.83,93,100,16.11,mist
264,Durham,US,36.0335,-78.8664,94.19,59,75,12.66,broken clouds
265,Asuncion,PY,-25.3007,-57.6359,60.24,55,40,3.44,scattered clouds
266,Alugan,PH,12.2188,125.4808,79.84,82,100,5.35,overcast clouds
267,Walvis Bay,NA,-22.9575,14.5053,71.1,43,13,10.85,few clouds
268,Marawi,PH,7.9986,124.2928,69.35,93,100,3.04,overcast clouds
269,Cidreira,BR,-30.1811,-50.2056,57.7,62,14,12.8,few clouds
270,Itupeva,BR,-23.1531,-47.0578,83.93,34,0,8.05,clear sky
271,Arauco,CL,-37.2463,-73.3175,49.26,93,100,5.19,overcast clouds
272,Great Bend,US,38.3645,-98.7648,86.13,58,0,11.5,clear sky
273,Mwense,ZM,-10.3845,28.698,68.0,39,51,7.4,broken clouds
274,Karratha,AU,-20.7377,116.8463,65.75,64,1,6.11,clear sky
275,Douglas,US,41.3,-96.167,85.39,62,40,5.75,scattered clouds
276,Cherskiy,RU,68.75,161.3,35.42,63,71,13.13,broken clouds
277,Lasa,IT,46.6166,10.7002,75.29,68,19,0.67,few clouds
278,Rosetta,EG,31.4044,30.4164,77.77,79,0,10.25,clear sky
279,Katherine,AU,-14.4667,132.2667,62.92,77,33,4.61,scattered clouds
280,Shubarshi,KZ,48.5872,57.1869,84.07,27,0,7.36,clear sky
281,Panguna,PG,-6.3164,155.4848,66.85,97,40,2.35,scattered clouds
282,Vao,NC,-22.6667,167.4833,70.32,74,93,18.77,overcast clouds
283,Kuusamo,FI,65.9667,29.1833,59.04,77,75,4.61,broken clouds
284,Ponta Delgada,PT,37.7333,-25.6667,70.52,88,75,17.27,broken clouds
285,Hammerfest,NO,70.6634,23.6821,48.65,100,75,10.36,broken clouds
286,Pujili,EC,-0.95,-78.6833,60.48,83,89,7.09,light rain
287,Ghatsila,IN,22.6,86.4833,79.36,91,21,8.08,few clouds
288,Takoradi,GH,4.8845,-1.7554,75.78,79,60,11.18,broken clouds
289,Rameshki,RU,57.3439,36.0453,57.15,76,73,1.43,broken clouds
290,Torbay,CA,47.6666,-52.7314,77.76,64,82,5.99,broken clouds
291,Meulaboh,ID,4.1363,96.1285,77.72,86,66,2.75,broken clouds
292,Saint-Pierre,RE,-21.3393,55.4781,69.91,72,40,14.97,scattered clouds
293,Bredasdorp,ZA,-34.5322,20.0403,55.6,86,0,6.31,clear sky
294,Quatre Cocos,MU,-20.2078,57.7625,70.09,65,53,22.46,broken clouds
295,Ahipara,NZ,-35.1667,173.1667,48.13,84,90,5.59,overcast clouds
296,Maldonado,UY,-34.6667,-54.9167,54.79,55,0,15.48,clear sky
297,Aljezur,PT,37.3191,-8.8033,72.3,72,57,9.73,broken clouds
298,Kodinsk,RU,58.6881,99.1844,54.99,84,72,4.09,broken clouds
299,Mitsamiouli,KM,-11.3847,43.2844,77.25,71,34,9.46,scattered clouds
300,Cockburn Town,TC,21.4612,-71.1419,82.76,77,3,20.96,clear sky
301,Huanren,CN,41.2647,125.3667,64.13,99,99,3.42,overcast clouds
302,Constitucion,CL,-35.3333,-72.4167,48.67,91,100,13.58,moderate rain
303,Ati,TD,13.2154,18.3353,79.88,70,88,11.34,overcast clouds
304,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,88.88,54,37,4.05,scattered clouds
305,Naze,JP,28.3667,129.4833,79.84,84,100,16.4,overcast clouds
306,Acapulco,MX,16.8634,-99.8901,87.62,62,75,3.44,broken clouds
307,Paraiso,CR,9.8383,-83.8656,76.06,64,69,4.72,broken clouds
308,Skjervoy,NO,70.0311,20.9714,51.8,84,100,4.34,light rain
309,Nelson Bay,AU,-32.7167,152.15,55.99,78,0,7.0,clear sky
310,Biltine,TD,14.5333,20.9167,75.25,90,91,18.79,heavy intensity rain
311,Araouane,ML,18.9048,-3.5265,103.57,22,83,8.97,broken clouds
312,Vredendal,ZA,-31.6683,18.5012,58.66,76,0,6.02,clear sky
313,Kahului,US,20.8947,-156.47,82.42,63,0,13.8,clear sky
314,Moerai,PF,-22.4333,-151.3333,72.32,66,58,19.89,broken clouds
315,Moshupa,BW,-24.7782,25.4155,56.48,50,0,3.53,clear sky
316,Siniscola,IT,40.5719,9.6922,85.55,57,0,5.77,clear sky
317,Kudahuvadhoo,MV,2.6708,72.8944,81.16,80,96,14.43,moderate rain
318,Tura,IN,25.5198,90.2201,76.73,92,65,5.57,broken clouds
319,Tutoia,BR,-2.7619,-42.2744,83.66,65,17,8.57,few clouds
320,Norden,DE,53.6,7.2,71.58,66,100,2.55,overcast clouds
321,Damnagar,IN,21.7,71.5167,80.46,83,98,11.41,overcast clouds
322,Faanui,PF,-16.4833,-151.75,76.59,72,62,19.1,light rain
323,Rio Gallegos,AR,-51.6226,-69.2181,32.05,74,75,8.05,broken clouds
324,Marsh Harbour,BS,26.5412,-77.0636,84.04,73,72,17.2,broken clouds
325,Maloy,NO,61.9353,5.1136,56.93,88,75,20.15,broken clouds
326,Kitui,KE,-1.367,38.0106,67.69,57,97,10.49,overcast clouds
327,Tumut,AU,-35.3,148.2167,38.19,98,72,5.14,broken clouds
328,Itacarambi,BR,-15.1022,-44.0919,88.03,20,4,6.87,clear sky
329,Lerwick,GB,60.1545,-1.1494,55.4,79,92,11.48,overcast clouds
330,Esperance,AU,-33.8667,121.9,53.26,86,100,10.09,light rain
331,Nouadhibou,MR,20.931,-17.0347,69.67,86,3,32.86,clear sky
332,Tarko-Sale,RU,64.9225,77.785,59.45,62,100,10.85,overcast clouds
333,Jaru,BR,-10.4389,-62.4664,98.02,27,4,5.86,clear sky
334,Hay River,CA,60.8156,-115.7999,73.08,45,100,7.47,overcast clouds
335,Sola,VU,-13.8833,167.55,80.96,75,87,23.31,overcast clouds
336,Victoria,HK,22.2855,114.1577,86.38,81,100,11.99,overcast clouds
337,Labuan,MY,5.2767,115.2417,81.43,75,100,4.29,overcast clouds
338,Cooma,AU,-36.2333,149.1333,32.74,83,48,6.08,scattered clouds
339,Kyrylivka,UA,46.3759,35.3675,74.82,60,55,15.17,broken clouds
340,Verkhnyaya Khava,RU,51.8404,39.9413,68.07,67,75,10.69,broken clouds
341,Dingle,PH,10.9995,122.6711,75.09,94,100,1.95,light rain
342,Gamboma,CG,-1.8764,15.8644,84.65,41,75,3.49,broken clouds
343,Viedma,AR,-40.8135,-62.9967,54.77,36,42,28.5,scattered clouds
344,Niquero,CU,20.0431,-77.5828,87.64,61,3,6.35,clear sky
345,Tateyama,JP,34.9833,139.8667,76.1,91,46,15.61,scattered clouds
